training,subset_size,fold,order_index,macro_f1
fixed-order trained,5,1,12,0.6079042055007531
fixed-order trained,5,1,13,0.6798696382442154
fixed-order trained,5,1,14,0.6626529265935528
fixed-order trained,5,1,15,0.6089706256945748
fixed-order trained,5,1,16,0.6925613275110564
fixed-order trained,5,1,17,0.6944969846239859
fixed-order trained,5,1,18,0.6196131780517358
fixed-order trained,5,1,19,0.6573218346232589
fixed-order trained,5,1,20,0.6067670196124528
fixed-order trained,5,1,21,0.6862665120708932
fixed-order trained,5,1,22,0.6995760337297788
fixed-order trained,5,1,23,0.6904855467391199
fixed-order trained,5,2,0,0.60975350658349
fixed-order trained,5,2,1,0.6225379475916435
fixed-order trained,5,2,2,0.6081765017377994
fixed-order trained,5,2,3,0.593575451017714
fixed-order trained,5,2,4,0.6141358467868702
fixed-order trained,5,2,5,0.6104490629809208
fixed-order trained,5,2,6,0.5972490176670429
fixed-order trained,5,2,7,0.5912740946444174
fixed-order trained,5,2,8,0.6531932327306387
fixed-order trained,5,2,9,0.6461933020690638
fixed-order trained,5,2,10,0.6508652922140343
fixed-order trained,5,2,11,0.6111363415577347
fixed-order trained,5,2,12,0.5915917828617191
fixed-order trained,5,2,13,0.608653348815754
fixed-order trained,5,2,14,0.5909313741412817
fixed-order trained,5,2,15,0.5935792542509202
fixed-order trained,5,2,16,0.5971586164324146
fixed-order trained,5,2,17,0.6409633959283725
fixed-order trained,5,2,18,0.5942268277938595
fixed-order trained,5,2,19,0.5953690692810398
fixed-order trained,5,2,20,0.5860114154903744
fixed-order trained,5,2,21,0.6263932818021607
fixed-order trained,5,2,22,0.6454604496812232
fixed-order trained,5,2,23,0.5995705812233183
fixed-order trained,6,0,0,0.6410049789381517
fixed-order trained,6,0,1,0.6674704136221964
fixed-order trained,6,0,2,0.6388102636205748
fixed-order trained,6,0,3,0.5980666930479346
fixed-order trained,6,0,4,0.6665019803313582
fixed-order trained,6,0,5,0.6701514559902146
fixed-order trained,6,0,6,0.5835795144962337
fixed-order trained,6,0,7,0.6765530162269292
fixed-order trained,6,0,8,0.6541597408194046
fixed-order trained,6,0,9,0.6720454254323065
fixed-order trained,6,0,10,0.6098770499778644
fixed-order trained,6,0,11,0.6557162396889089
fixed-order trained,6,0,12,0.6641932250971283
fixed-order trained,6,0,13,0.6048485733899485
fixed-order trained,6,0,14,0.6044796543783884
fixed-order trained,6,0,15,0.6547673426911267
fixed-order trained,6,0,16,0.6074408641941269
fixed-order trained,6,0,17,0.6602425735155261
fixed-order trained,6,0,18,0.6464138623664886
fixed-order trained,6,0,19,0.6553651605129732
fixed-order trained,6,0,20,0.5870870690808626
fixed-order trained,6,0,21,0.6570798678579297
fixed-order trained,6,0,22,0.641338683478723
fixed-order trained,6,0,23,0.6496689207479053
fixed-order trained,6,1,0,0.6797777542274629
fixed-order trained,6,1,1,0.7126999915415304
fixed-order trained,6,1,2,0.6747240454083052
fixed-order trained,6,1,3,0.6214094786398313
fixed-order trained,6,1,4,0.7150646816950729
fixed-order trained,6,1,5,0.7079581173973739
fixed-order trained,6,1,6,0.625590071569971
fixed-order trained,6,1,7,0.7136981831589975
fixed-order trained,6,1,8,0.697531727185364
fixed-order trained,6,1,9,0.7209968533810244
fixed-order trained,6,1,10,0.6128225436614185
fixed-order trained,6,1,11,0.6898346586256133
fixed-order trained,6,1,12,0.6807725504206364
fixed-order trained,6,1,13,0.6293869847812351
fixed-order trained,6,1,14,0.6313557998827941
fixed-order trained,6,1,15,0.7033121331072248
fixed-order trained,6,1,16,0.6128225436614185
fixed-order trained,6,1,17,0.6887000426795988
fixed-order trained,6,1,18,0.6766401979184429
fixed-order trained,6,1,19,0.6687188880523058
fixed-order trained,6,1,20,0.6262648636948883
